Timestamp,ForwardX,ForwardY,ForwardZ,EulerAngleX,EulerAngleY,EulerAngleZ
3.4031,0.138780,0.402550,0.904817,336.262300,8.719991,355.154100
3.4165,0.140560,0.402210,0.904693,336.283600,8.831278,355.197100
3.4303,0.142076,0.399911,0.905476,336.427400,8.917428,355.170800
3.4458,0.144009,0.396444,0.906694,336.644000,9.024806,355.144200
3.4587,0.145878,0.393056,0.907869,336.855200,9.128362,355.084400
3.4743,0.147741,0.389778,0.908981,337.059300,9.231846,355.040300
3.4864,0.151336,0.381531,0.911884,337.571500,9.422882,354.989800
3.5021,0.155219,0.375469,0.913745,337.946700,9.640851,354.949800
3.5147,0.159428,0.370053,0.915229,338.281100,9.881440,354.871100
3.5287,0.164232,0.363928,0.916834,338.658400,10.155630,354.782800
3.5466,0.169260,0.358031,0.918240,339.020700,10.444170,354.655800
3.5567,0.173906,0.352626,0.919463,339.352000,10.710360,354.580100
3.5707,0.182698,0.341677,0.921889,340.020900,11.209510,354.548800
3.5845,0.189068,0.333098,0.923742,340.543100,11.567310,354.550200
3.5986,0.197221,0.320576,0.926464,341.302200,12.017470,354.570700
3.6134,0.203866,0.310892,0.928324,341.887000,12.385940,354.535700
3.6273,0.214954,0.292498,0.931794,342.992400,12.990230,354.491400
3.6408,0.226210,0.274593,0.934574,344.062300,13.606550,354.421900
3.6576,0.240269,0.251227,0.937633,345.449900,14.372790,354.486900
3.6698,0.254218,0.229046,0.939633,346.759100,15.138960,354.546700
3.6829,0.269731,0.202081,0.941493,348.341300,15.986650,354.543900
3.6963,0.284461,0.174452,0.942682,349.953200,16.791560,354.287500
3.7110,0.296203,0.150146,0.943250,351.364600,17.433540,354.057300
3.7228,0.306984,0.129233,0.942900,352.574700,18.033910,354.019800
3.7368,0.319932,0.109500,0.941092,353.713500,18.775890,354.232100
3.7509,0.332437,0.091632,0.938664,354.742500,19.502080,354.442800
3.7653,0.343327,0.076594,0.936088,355.607200,20.141430,354.504200
3.7788,0.353318,0.060062,0.933573,356.556600,20.729520,354.478200
3.7940,0.362757,0.045158,0.930789,357.411700,21.292380,354.338000
3.8065,0.372506,0.030341,0.927534,358.261300,21.880850,354.432500
3.8209,0.381434,0.017070,0.924239,359.021900,22.425970,354.551500
3.8346,0.387596,0.006104,0.921809,359.650300,22.805440,354.661600
3.8503,0.393255,-0.005980,0.919410,0.342626,23.157620,354.830500
3.8641,0.398740,-0.017505,0.916897,1.003023,23.503270,355.128100
3.8777,0.405309,-0.030071,0.913685,1.723202,23.922000,355.489600
3.8901,0.413016,-0.044238,0.909649,2.535461,24.419870,355.693800
3.9037,0.418551,-0.059401,0.906249,3.405444,24.789830,356.010000
3.9181,0.424768,-0.074875,0.902201,4.294041,25.211680,356.109100
3.9325,0.430171,-0.091264,0.898123,5.236311,25.592860,356.268600
3.9464,0.435227,-0.105089,0.894167,6.032316,25.954060,356.564700
3.9600,0.440982,-0.117196,0.889831,6.730304,26.362070,356.871700
3.9743,0.445690,-0.128390,0.885933,7.376550,26.705790,357.035800
3.9877,0.450010,-0.139652,0.882036,8.027686,27.030430,357.140200
4.0012,0.452343,-0.149474,0.879229,8.596453,27.224750,357.207000
4.0172,0.455160,-0.157974,0.876284,9.089324,27.448310,357.323900
4.0304,0.458376,-0.168473,0.872644,9.699040,27.711720,357.446300
4.0440,0.460455,-0.177026,0.869852,10.196580,27.894420,357.420300
4.0579,0.461257,-0.187157,0.867303,10.786920,28.005330,357.332600
4.0721,0.464298,-0.198369,0.863178,11.441580,28.275540,357.430400
4.0854,0.463801,-0.209140,0.860900,12.071980,28.313090,357.432900
4.1030,0.465055,-0.219183,0.857719,12.661040,28.466530,357.574200
4.1161,0.464983,-0.227174,0.855677,13.130750,28.520100,357.829400
4.1276,0.465778,-0.233638,0.853501,13.511370,28.622450,358.131700
4.1396,0.467173,-0.240136,0.850932,13.894550,28.767360,358.321300
4.1532,0.468710,-0.246558,0.848245,14.273900,28.923480,358.413900
4.1676,0.470416,-0.252602,0.845519,14.631510,29.089970,358.509100
4.1832,0.472544,-0.259576,0.842213,15.044880,29.295650,358.677300
4.1978,0.476678,-0.265417,0.838053,15.391730,29.630870,358.909200
4.2105,0.480841,-0.273097,0.833193,15.848650,29.989510,359.096800
4.2236,0.485577,-0.280288,0.828042,16.277370,30.388010,359.232300
4.2371,0.490617,-0.287511,0.822577,16.709030,30.813510,359.391800
4.2519,0.494476,-0.293181,0.818254,17.048520,31.144820,359.583900
4.2650,0.499420,-0.296829,0.813924,17.267260,31.533100,359.833700
4.2828,0.503494,-0.300162,0.810183,17.467310,31.859160,0.101971
4.2946,0.507949,-0.302761,0.806426,17.623510,32.205870,0.333460
4.3066,0.512136,-0.304934,0.802952,17.754180,32.530420,0.526026
4.3203,0.516493,-0.306525,0.799548,17.849910,32.861710,0.785613
4.3357,0.520975,-0.305552,0.797009,17.791360,33.171170,1.089840
4.3497,0.526073,-0.304807,0.793940,17.746560,33.528860,1.333438
4.3660,0.530486,-0.301436,0.792288,17.543860,33.804760,1.543560
4.3777,0.535065,-0.300512,0.789555,17.488340,34.124680,1.836422
4.3917,0.540426,-0.297865,0.786903,17.329400,34.480350,2.139963
4.4032,0.546157,-0.295579,0.783802,17.192280,34.868990,2.364306
4.4163,0.551820,-0.295279,0.779939,17.174260,35.280010,2.600367
4.4337,0.553098,-0.295221,0.779055,17.170780,35.373240,2.513610
4.4460,0.569098,-0.296245,0.767050,17.232200,36.572860,3.102520
4.4604,0.570773,-0.295297,0.766171,17.175350,36.684960,3.019807
4.4736,0.576430,-0.294388,0.762276,17.120870,37.096410,3.241712
4.4902,0.582622,-0.292880,0.758138,17.030450,37.541950,3.497760
4.5013,0.589400,-0.289784,0.754078,16.845040,38.011760,3.761461
4.5178,0.595246,-0.288812,0.749846,16.786830,38.443410,3.988220
4.5320,0.605282,-0.289802,0.741383,16.846080,39.228970,4.042945
4.5434,0.613480,-0.289791,0.734618,16.845420,39.865280,4.199994
4.5566,0.623905,-0.288523,0.726290,16.769540,40.663560,4.391772
4.5713,0.633947,-0.285912,0.718586,16.613370,41.419200,4.667923
